四季,#genre#
民視新聞台,http://localhost:8080/daili/4gtv.php?channel=litv-ftv13
寰宇新聞台,http://localhost:8080/daili/4gtv.php?channel=litv-longturn14
華視新聞資訊台,http://localhost:8080/daili/4gtv.php?channel=4gtv-4gtv052
空中英語教室,http://localhost:8080/daili/4gtv.php?channel=4gtv-4gtv012
民視旅遊台,http://localhost:8080/daili/4gtv.php?channel=litv-ftv07
i-Fun動漫台,http://localhost:8080/daili/4gtv.php?channel=litv-ftv15
幸福空間居家台,http://localhost:8080/daili/4gtv.php?channel=4gtv-live206
愛爾達娛樂台,http://localhost:8080/daili/4gtv.php?channel=4gtv-4gtv070
亞洲旅遊台,http://localhost:8080/daili/4gtv.php?channel=litv-longturn17
MTV Live HD,http://localhost:8080/daili/4gtv.php?channel=4gtv-4gtv025
寰宇新聞台灣台,http://localhost:8080/daili/4gtv.php?channel=litv-longturn15
民視台灣台,http://localhost:8080/daili/4gtv.php?channel=4gtv-4gtv001
中視新聞台,http://localhost:8080/daili/4gtv.php?channel=4gtv-4gtv074
影迷數位電影台,http://localhost:8080/daili/4gtv.php?channel=4gtv-4gtv011
靖天日本台,http://localhost:8080/daili/4gtv.php?channel=4gtv-4gtv047
龍華日韓台,http://localhost:8080/daili/4gtv.php?channel=litv-longturn11
龍華偶像台,http://localhost:8080/daili/4gtv.php?channel=litv-longturn12
公視戲劇,http://localhost:8080/daili/4gtv.php?channel=4gtv-4gtv042
i-Fun動漫台3,http://localhost:8080/daili/4gtv.php?channel=litv-ftv12
民視無線台,http://localhost:8080/daili/4gtv.php?channel=4gtv-4gtv002
CI 罪案偵查頻道,http://localhost:8080/daili/4gtv.php?channel=4gtv-4gtv027
CNEX紀實頻道,http://localhost:8080/daili/4gtv.php?channel=4gtv-4gtv013
龍華電影台,http://localhost:8080/daili/4gtv.php?channel=litv-longturn03
民視綜藝台,http://localhost:8080/daili/4gtv.php?channel=4gtv-4gtv004
ELTV英語學習台,http://localhost:8080/daili/4gtv.php?channel=litv-longturn20
龍華卡通台,http://localhost:8080/daili/4gtv.php?channel=litv-longturn01
中視無線台,http://localhost:8080/daili/4gtv.php?channel=4gtv-4gtv040
Baby First,http://localhost:8080/daili/4gtv.php?channel=litv-longturn02
民視第一台,http://localhost:8080/daili/4gtv.php?channel=4gtv-4gtv003
大愛電視台,http://localhost:8080/daili/4gtv.php?channel=4gtv-4gtv007
SMART 知識頻道,http://localhost:8080/daili/4gtv.php?channel=4gtv-4gtv076
CNBC,http://localhost:8080/daili/4gtv.php?channel=4gtv-4gtv030
半島電視台,http://localhost:8080/daili/4gtv.php?channel=litv-ftv10

民視新聞台,http://localhost:8080/daili/4gtv.php?channel=31
中視新聞,http://localhost:8080/daili/4gtv.php?channel=33
華視新聞,http://localhost:8080/daili/4gtv.php?channel=34
東森新聞台,http://localhost:8080/daili/4gtv.php?channel=234
寰宇新聞台,http://localhost:8080/daili/4gtv.php?channel=36
TVBS新聞,http://localhost:8080/daili/4gtv.php?channel=129
鏡電視新聞台,http://localhost:8080/daili/4gtv.php?channel=268
中天新聞台,http://localhost:8080/daili/4gtv.php?channel=30
三立新聞iNEWS,http://localhost:8080/daili/4gtv.php?channel=229
